web-scraper-order,web-scraper-start-url,birth-place,native-language,other-languages,age-sex,age-of-english-onset,english-method,english-residence,length-residence,mp3-link,website-tag
"1676624545-2793","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=408","birth place: los angeles, california, usa (map)","english","other language(s): spanish","age, sex: 39, female","age of english onset: 0","english learning method: naturalistic","english residence: usa","length of english residence: 39 years","/soundtracks/english106.mp3","english106"
"1676624547-2794","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=407","birth place: windsor, ontario, canada (map)","english","other language(s): none","age, sex: 57, male","age of english onset: 0","english learning method: naturalistic","english residence: canada","length of english residence: 57 years","/soundtracks/english105.mp3","english105"
"1676624550-2795","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=406","birth place: bulawayo, zimbabwe (map)","zulu","other language(s): shona ndebele","age, sex: 24, female","age of english onset: 14","english learning method: academic","english residence: usa","length of english residence: 7 years","/soundtracks/zulu1.mp3","zulu1"
"1676624552-2796","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=405","birth place: winnipeg, manitoba, canada (map)","yiddish","other language(s): hebrew","age, sex: 78, female","age of english onset: 6","english learning method: academic","english residence: canada,usa","length of english residence: 71 years","/soundtracks/yiddish2.mp3","yiddish2"
"1676624555-2797","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=404","birth place: st. etienne, france (map)","yiddish","other language(s): french hebrew","age, sex: 60, male","age of english onset: 8","english learning method: academic","english residence: canada,uk","length of english residence: 57 years","/soundtracks/yiddish1.mp3","yiddish1"
"1676624557-2798","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=403","birth place: dakar, senegal (map)","wolof","other language(s): bambara","age, sex: 37, male","age of english onset: 11","english learning method: academic","english residence: usa","length of english residence: 8 years","/soundtracks/wolof2.mp3","wolof2"
"1676624560-2799","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=402","birth place: dakar, senegal (map)","wolof","other language(s): bambara french","age, sex: 21, male","age of english onset: 12","english learning method: academic","english residence: usa","length of english residence: 1.5 years","/soundtracks/wolof1.mp3","wolof1"
"1676624562-2800","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=401","birth place: hue, vietnam (map)","vietnamese","other language(s): none","age, sex: 29, female","age of english onset: 18","english learning method: academic","english residence: usa","length of english residence: 10 years","/soundtracks/vietnamese7.mp3","vietnamese7"
"1676624565-2801","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=400","birth place: ho chi minh city, vietnam (map)","vietnamese","other language(s): french","age, sex: 41, male","age of english onset: 12","english learning method: academic","english residence: usa","length of english residence: 2 years","/soundtracks/vietnamese6.mp3","vietnamese6"
"1676624567-2802","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=399","birth place: cam ranh, vietnam (map)","vietnamese","other language(s): cantonese","age, sex: 34, male","age of english onset: 31","english learning method: academic","english residence: usa","length of english residence: 2 years","/soundtracks/vietnamese5.mp3","vietnamese5"
"1676624570-2803","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=398","birth place: hanoi, vietnam (map)","vietnamese","other language(s): japanese russian","age, sex: 25, female","age of english onset: 15","english learning method: academic","english residence: usa","length of english residence: 1 years","/soundtracks/vietnamese4.mp3","vietnamese4"
